기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
강진군,5643222.0,2.3
고흥군,6835178.0,2.8
곡성군,5564500.0,2.2
광양시,1.3558184E7,5.5
구례군,5814886.0,2.3
나주시,1.6318348E7,6.6
담양군,1.5470602E7,6.2
목포시,2.5398748E7,10.3
무안군,1.4954258E7,6.0
보성군,7043032.0,2.8
순천시,2.5183882E7,10.2
신안군,6916976.0,2.8
여수시,2.7107832E7,10.9
영광군,7394706.0,3.0
영암군,1.0405171E7,4.2
완도군,5906562.0,2.4
장성군,1.0277872E7,4.2
장흥군,5271406.0,2.1
진도군,5006200.0,2.0
함평군,6448204.0,2.6
해남군,8737082.0,3.5
화순군,1.2340874E7,5.0
