기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
강진군,3784952.0,2.3
고흥군,6274708.0,3.8
곡성군,4230111.0,2.5
광양시,8948987.0,5.4
구례군,4526072.0,2.7
나주시,1.0110096E7,6.1
담양군,1.0032466E7,6.0
목포시,1.3661244E7,8.2
무안군,8059964.0,4.8
보성군,5080609.0,3.1
순천시,1.5843337E7,9.5
신안군,5067828.0,3.0
여수시,2.3114968E7,13.9
영광군,5345325.0,3.2
영암군,5707440.0,3.4
완도군,4460157.0,2.7
장성군,6297170.0,3.8
장흥군,3512035.0,2.1
진도군,4016332.0,2.4
함평군,4164057.0,2.5
해남군,5951974.0,3.6
화순군,8111350.0,4.9
