기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
고창군,6594234.0,4.9
군산시,1.457014E7,10.9
김제시,6939151.0,5.2
남원시,7050244.0,5.3
무주군,5540989.0,4.2
부안군,8348346.0,6.3
순창군,3490554.0,2.6
완주군,1.207738E7,9.0
익산시,1.183384E7,8.9
임실군,3962770.0,3.0
장수군,2188173.0,1.6
전주시 덕진구,1.8078785E7,13.5
전주시 완산구,2.1791208E7,16.3
정읍시,7356258.0,5.5
진안군,3642548.0,2.7
