기준연월,지역명,검색량(건)
202201,경상남도,1634
202202,경상남도,4269
202203,경상남도,4930
202204,경상남도,6917
202205,경상남도,5026
202206,경상남도,5675
202207,경상남도,7475
202208,경상남도,7287
202209,경상남도,5838
202210,경상남도,6937
202211,경상남도,6239
202212,경상남도,6766
