기준연월,지역명,검색량(건)
202201,충청남도,1813
202202,충청남도,3058
202203,충청남도,4419
202204,충청남도,4619
202205,충청남도,4956
202206,충청남도,5871
202207,충청남도,5091
202208,충청남도,5721
202209,충청남도,4622
202210,충청남도,5337
202211,충청남도,6002
202212,충청남도,4903
