기준연월,방문자 수,평균 체류시간
202201,4.2734465E+07,355.0
202202,3.6439388E+07,366.0
202203,4.5451545E+07,348.0
202204,4.7440581E+07,324.0
202205,4.9074415E+07,300.0
202206,4.526064E+07,312.0
202207,4.8786994E+07,315.0
202208,4.6750478E+07,324.0
202209,4.9983411E+07,322.0
202210,5.0428808E+07,293.0
202211,4.7294553E+07,302.0
202212,4.8371402E+07,315.0
