기준연월,지역명,검색량(건)
202201,전라북도,1311
202202,전라북도,2119
202203,전라북도,2953
202204,전라북도,3155
202205,전라북도,3469
202206,전라북도,3729
202207,전라북도,2889
202208,전라북도,4073
202209,전라북도,3584
202210,전라북도,3976
202211,전라북도,3872
202212,전라북도,3020
