기준연월,지역명,검색량(건)
202201,경상북도,2881
202202,경상북도,5169
202203,경상북도,5445
202204,경상북도,5838
202205,경상북도,6638
202206,경상북도,7663
202207,경상북도,6551
202208,경상북도,7574
202209,경상북도,6183
202210,경상북도,7895
202211,경상북도,7070
202212,경상북도,10002
