기준연월,지역명,검색량(건)
202201,전라남도,1944
202202,전라남도,4739
202203,전라남도,5257
202204,전라남도,4427
202205,전라남도,5550
202206,전라남도,9933
202207,전라남도,5787
202208,전라남도,7262
202209,전라남도,6173
202210,전라남도,6389
202211,전라남도,6655
202212,전라남도,6692
