기준연월,방문자 수,평균 체류시간
202201,6023592.0,605.0
202202,5055619.0,604.0
202203,4807101.0,564.0
202204,5380429.0,594.0
202205,5358149.0,576.0
202206,5836749.0,646.0
202207,8013753.0,548.0
202208,6513933.0,607.0
202209,5053433.0,610.0
202210,6104759.0,565.0
202211,5260455.0,575.0
202212,4804578.0,592.0
