기준연월,방문자 수,평균 체류시간
202201,1.2254645E+07,475.0
202202,1.0256626E+07,416.0
202203,1.1542146E+07,420.0
202204,1.1739554E+07,427.0
202205,1.3203632E+07,407.0
202206,1.1874918E+07,433.0
202207,1.393598E+07,451.0
202208,1.4263378E+07,454.0
202209,1.3592882E+07,477.0
202210,1.402865E+07,394.0
202211,1.1919437E+07,408.0
202212,1.1504035E+07,455.0
