기준연월,방문자 수,평균 체류시간
202201,1.1594538E+07,448.0
202202,9818776.0,405.0
202203,1.2187471E+07,418.0
202204,1.2786571E+07,391.0
202205,1.4397968E+07,373.0
202206,1.3167517E+07,390.0
202207,1.4149406E+07,414.0
202208,1.4478265E+07,414.0
202209,1.5843574E+07,418.0
202210,1.5448886E+07,363.0
202211,1.2940585E+07,387.0
202212,1.1024049E+07,407.0
