기준연월,지역명,검색량(건)
202201,충청북도,1220
202202,충청북도,1402
202203,충청북도,1971
202204,충청북도,2035
202205,충청북도,2640
202206,충청북도,2518
202207,충청북도,2761
202208,충청북도,3692
202209,충청북도,3617
202210,충청북도,3362
202211,충청북도,3337
202212,충청북도,3262
