기준연월,방문자 수,평균 체류시간
202201,7376204.0,554.0
202202,5920700.0,484.0
202203,6619908.0,489.0
202204,6476193.0,470.0
202205,7313463.0,438.0
202206,7838302.0,552.0
202207,1.2277206E+07,434.0
202208,8608330.0,475.0
202209,9024101.0,499.0
202210,8742209.0,417.0
202211,7795796.0,436.0
202212,6488755.0,491.0
