시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
부안군,전라북도,채석강 (전북 서해안 국가지질공원),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d984f94a-b0d3-4e8e-b80e-843d8db64bf5,자연,자연관광지,해안절경,1770
완주군,전라북도,대둔산도립공원(전북),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9e1a816d-917f-4eff-9114-c6bb324ce43a,자연,자연관광지,도립공원,1759
군산시,전라북도,경암동 철길마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1a3dfa97-421e-4b7b-a429-015c4076615c,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,1714
정읍시,전라북도,우화정(내장산),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=62b38e2f-f704-4ee5-8884-4f8c2fd2ae49,자연,자연관광지,호수,1712
전주시 완산구,전라북도,완산칠봉(완산공원),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=abb00f1c-8e40-48f0-ad34-14aa83b6f595,자연,자연관광지,자연생태관광지,1618
남원시,전라북도,정령치,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=787964bf-cb08-4eb0-80d5-d8d30f926e7f,자연,자연관광지,산,1601
전주시 완산구,전라북도,전주전동성당,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f8f9cc52-2274-4584-a442-e152782e5e60,인문(문화/예술/역사),역사관광지,종교성지,1577
군산시,전라북도,동국사(군산),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d31e4cc5-440c-42c0-a081-33cbe0ae297d,인문(문화/예술/역사),역사관광지,사찰,1506
남원시,전라북도,구 서도역,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=83777dae-dd9b-4168-a719-41253f7fdcf0,인문(문화/예술/역사),역사관광지,유적지/사적지,1501
군산시,전라북도,무녀도?선유도,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6988254e-4b53-40d2-808e-aa4cf516bf91,자연,자연관광지,섬,1492
김제시,전라북도,망해사,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=295ffde9-8a0a-41a6-962e-14ec6c25291b,인문(문화/예술/역사),역사관광지,사찰,1466
